fiscal_year,direction,budget_line_id,cofog_status,cofog_division,cofog_group,cofog_class,cofog_consolidation,cofog_decided_at_level,cofog_rule_id,cofog_counterpart_fund
2026,expenditure,131016:2026:expenditure:approved:000f8d6c092ccdbf,assigned,10,10.2,"",retained,目,chiyoda-koreisha,
2026,expenditure,131016:2026:expenditure:approved:001312f5dcb56d51,assigned,01,"","",retained,項,chiyoda-chiiki-other,
2026,expenditure,131016:2026:expenditure:approved:00389e3dfefd19ac,assigned,09,09.5,"",retained,項,chiyoda-bunka-other,
2026,expenditure,131016:2026:expenditure:approved:006a3c3df7200ff3,assigned,06,06.1,"",retained,目,chiyoda-jutaku,
2026,expenditure,131016:2026:expenditure:approved:006e80af8879bc88,assigned,01,"","",retained,款,somu,
2026,expenditure,131016:2026:expenditure:approved:00d3dd9d3cf026fc,assigned,10,"","",retained,項,chiyoda-fukushi-kanri,
2026,expenditure,131016:2026:expenditure:approved:01ae91440f9219ae,assigned,10,10.4,"",retained,項,chiyoda-kodomo-katei,
2026,expenditure,131016:2026:expenditure:approved:01ea15cd1289857e,assigned,07,"","",retained,項,chiyoda-kenko,
2026,expenditure,131016:2026:expenditure:approved:02cd577e6b2ed262,assigned,10,10.4,"",retained,項,chiyoda-kodomo-katei,
2026,expenditure,131016:2026:expenditure:approved:039c66f1298a2869,assigned,06,06.1,"",retained,目,chiyoda-jutaku,
2026,expenditure,131016:2026:expenditure:approved:03cda66eb9c509f6,assigned,09,09.2,"",retained,目,chiyoda-gakko-chuto,
2026,expenditure,131016:2026:expenditure:approved:03f38216ba7e6759,assigned,10,10.1,"",retained,目,chiyoda-shogaisha,
2026,expenditure,131016:2026:expenditure:approved:03faf277fcaac974,assigned,01,"","",retained,項,chiyoda-chiiki-other,
2026,expenditure,131016:2026:expenditure:approved:040757119e94f345,assigned,08,08.1,"",retained,目,chiyoda-kouen,
2026,expenditure,131016:2026:expenditure:approved:052e3fa9eba1d9f7,assigned,09,09.2,"",retained,目,chiyoda-gakko-chuto,
2026,expenditure,131016:2026:expenditure:approved:057f44de6d654fb0,assigned,08,08.1,"",retained,目,chiyoda-kouen,
2026,expenditure,131016:2026:expenditure:approved:05d22465c1e8b1d3,assigned,10,10.1,"",retained,目,chiyoda-shogaisha,
2026,expenditure,131016:2026:expenditure:approved:0648aa3949585ed6,assigned,10,10.4,"",retained,項,chiyoda-kodomo-katei,
2026,expenditure,131016:2026:expenditure:approved:06ba78e2c0ba3099,assigned,01,"","",retained,項,chiyoda-chiiki-other,
2026,expenditure,131016:2026:expenditure:approved:0737ce0432fdf732,assigned,04,04.5,04.5.1,retained,項,chiyoda-doro,
2026,expenditure,131016:2026:expenditure:approved:073c62c4d605fa06,assigned,01,"","",retained,項,chiyoda-chiiki-other,
2026,expenditure,131016:2026:expenditure:approved:074bad3d8051ff3c,assigned,09,09.5,"",retained,項,chiyoda-bunka-other,
