fiscal_year,direction,budget_line_id,cofog_status,cofog_division,cofog_consolidation,cofog_decided_at_level,cofog_rule_id,cofog_counterpart_fund
2018,expenditure,132195:2018:expenditure:settlement:00163410c4b0cb58,assigned,01,retained,款,komae-kan-somu,
2018,expenditure,132195:2018:expenditure:settlement:003fb9fe22a6a8b9,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:0078742c5b277507,assigned,03,retained,款,komae-kan-shobo,
2018,expenditure,132195:2018:expenditure:settlement:01131937b36f58f6,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:01132fca17fbd56e,assigned,07,retained,会計,komae-fund-kouki,
2018,expenditure,132195:2018:expenditure:settlement:012cc8b4d57b9bb9,unclassifiable,"",retained,款,komae-kan-eisei,
2018,expenditure,132195:2018:expenditure:settlement:01447bc14ca7d087,assigned,10,retained,款,komae-kan-minsei,
2018,expenditure,132195:2018:expenditure:settlement:01490748a5e3c306,assigned,01,retained,款,komae-kan-somu,
2018,expenditure,132195:2018:expenditure:settlement:01514a18e609e6a7,assigned,10,retained,款,komae-kan-minsei,
2018,expenditure,132195:2018:expenditure:settlement:015152b37ead62f3,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:015b134ed6bf059c,assigned,04,retained,款,komae-kan-norin,
2018,expenditure,132195:2018:expenditure:settlement:017cdfcf059cf532,assigned,10,retained,款,komae-kan-minsei,
2018,expenditure,132195:2018:expenditure:settlement:017dba86c5d0aa4d,assigned,10,retained,款,komae-kan-minsei,
2018,expenditure,132195:2018:expenditure:settlement:0193a6a73575df38,assigned,07,retained,会計,komae-fund-kouki,
2018,expenditure,132195:2018:expenditure:settlement:023bda5c010c4b11,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:026aa96c1b1411ea,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:027452ac964c529a,assigned,07,retained,会計,komae-fund-kokuho,
2018,expenditure,132195:2018:expenditure:settlement:02ca192146be1395,assigned,01,retained,款,komae-kan-somu,
2018,expenditure,132195:2018:expenditure:settlement:02f38a191c165e66,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:02fd1c2093e2d2ff,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:030f866185573fd8,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:03582dff9be7a7de,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:035f89b622c79c07,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:0367b227b8241892,assigned,01,retained,款,komae-kan-somu,
2018,expenditure,132195:2018:expenditure:settlement:036f3b7639d804df,unclassifiable,"",retained,款,komae-kan-eisei,
2018,expenditure,132195:2018:expenditure:settlement:03725a86087fdae1,assigned,01,retained,款,komae-kan-somu,
2018,expenditure,132195:2018:expenditure:settlement:039e73f370cea9a1,assigned,10,retained,款,komae-kan-minsei,
2018,expenditure,132195:2018:expenditure:settlement:03a0877662299be8,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:03efc5cce78d0f88,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:03fa162c0d24ff5e,assigned,04,retained,款,komae-kan-shoko,
2018,expenditure,132195:2018:expenditure:settlement:04088190b2085554,assigned,10,retained,会計,komae-fund-kaigo,
2018,expenditure,132195:2018:expenditure:settlement:0414e74f63f30644,assigned,10,retained,款,komae-kan-minsei,
2018,expenditure,132195:2018:expenditure:settlement:0466cd21df070d10,assigned,10,retained,会計,komae-fund-kaigo,
2018,expenditure,132195:2018:expenditure:settlement:0468879e62ed75df,unclassifiable,"",retained,款,komae-kan-eisei,
2018,expenditure,132195:2018:expenditure:settlement:047422ecb9ba70f3,unclassifiable,"",retained,款,komae-kan-eisei,
2018,expenditure,132195:2018:expenditure:settlement:047f25194c9343c3,unclassifiable,"",retained,款,komae-kan-eisei,
2018,expenditure,132195:2018:expenditure:settlement:0481f2f85cdc90f2,unclassifiable,"",retained,款,komae-kan-doboku,
2018,expenditure,132195:2018:expenditure:settlement:04a0d06b7a0dc53a,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:04c6542c09eaa1d4,unclassifiable,"",retained,款,komae-kan-eisei,
2018,expenditure,132195:2018:expenditure:settlement:04fe0e2ae4e96173,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:050e6a2362bb92b1,assigned,01,retained,款,komae-kan-somu,
2018,expenditure,132195:2018:expenditure:settlement:051302b11b2b1d85,assigned,10,retained,会計,komae-fund-kaigo,
2018,expenditure,132195:2018:expenditure:settlement:05673139151d9d20,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:056c72409fb2a035,assigned,07,retained,会計,komae-fund-kokuho,
2018,expenditure,132195:2018:expenditure:settlement:057ae7166dcc9162,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:05b1e4ef0a698d8b,assigned,01,retained,款,komae-kan-somu,
2018,expenditure,132195:2018:expenditure:settlement:05c81dbfe58bc10e,assigned,10,retained,款,komae-kan-minsei,
2018,expenditure,132195:2018:expenditure:settlement:05f278217899bb20,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:06562a4b86903424,assigned,01,retained,款,komae-kan-somu,
2018,expenditure,132195:2018:expenditure:settlement:068182013a7f75b6,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:068ac33b91c2f136,unclassifiable,"",retained,款,komae-kan-doboku,
2018,expenditure,132195:2018:expenditure:settlement:06ce1a59b6206faf,unclassifiable,"",retained,款,komae-kan-eisei,
2018,expenditure,132195:2018:expenditure:settlement:06ed6e7f879a7681,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:073a6209051a31af,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:0751e86268773cb9,assigned,01,retained,款,komae-kan-somu,
2018,expenditure,132195:2018:expenditure:settlement:079432f08868775b,assigned,10,retained,款,komae-kan-minsei,
2018,expenditure,132195:2018:expenditure:settlement:07e4d412b5c90360,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:07ef68633d733706,assigned,01,retained,款,komae-kan-somu,
2018,expenditure,132195:2018:expenditure:settlement:0815fe9179f1f7dc,assigned,10,retained,款,komae-kan-minsei,
2018,expenditure,132195:2018:expenditure:settlement:08352b1c44790a8c,unclassifiable,"",retained,款,komae-kan-eisei,
2018,expenditure,132195:2018:expenditure:settlement:0839cfd322bb09cf,unclassifiable,"",retained,款,komae-kan-doboku,
2018,expenditure,132195:2018:expenditure:settlement:083ffa73472993a6,assigned,03,retained,款,komae-kan-shobo,
2018,expenditure,132195:2018:expenditure:settlement:0863ee6a236760cb,assigned,10,retained,款,komae-kan-minsei,
2018,expenditure,132195:2018:expenditure:settlement:0878ff472cc5bf9c,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:088992d114fc0245,assigned,01,retained,款,komae-kan-somu,
2018,expenditure,132195:2018:expenditure:settlement:08923eafa329257b,unclassifiable,"",retained,款,komae-kan-doboku,
2018,expenditure,132195:2018:expenditure:settlement:08a1edac2b621e2d,assigned,01,retained,款,komae-kan-somu,
2018,expenditure,132195:2018:expenditure:settlement:08efd31b8b8fcd55,unclassifiable,"",retained,款,komae-kan-kyoiku,
2018,expenditure,132195:2018:expenditure:settlement:091c48e205c59211,assigned,01,retained,款,komae-kan-somu,
2018,expenditure,132195:2018:expenditure:settlement:091d998ce8a9684b,unclassifiable,"",retained,款,komae-kan-doboku,
2018,expenditure,132195:2018:expenditure:settlement:092c9efbfd5eaeea,assigned,10,retained,款,komae-kan-minsei,
2018,expenditure,132195:2018:expenditure:settlement:09395ee331df40eb,assigned,01,retained,款,komae-kan-somu,
2018,expenditure,132195:2018:expenditure:settlement:0955a8267387aa7b,assigned,10,retained,款,komae-kan-minsei,
