fiscal_year,direction,budget_line_id,cofog_status,cofog_division,cofog_group,cofog_class,cofog_consolidation,cofog_decided_at_level,cofog_rule_id,cofog_counterpart_fund
2021,expenditure,132241:2021:expenditure:approved:000708cec0288f2b,assigned,04,04.7,"",retained,款,shoko,
2021,expenditure,132241:2021:expenditure:approved:003625d43582047d,assigned,01,"","",retained,款,somu,
2021,expenditure,132241:2021:expenditure:approved:006114cb4a8570a5,assigned,09,09.8,"",retained,項,tama-kyoiku-gakko,
2021,expenditure,132241:2021:expenditure:approved:0080aa5d2f4cbce9,assigned,01,"","",retained,款,somu,
2021,expenditure,132241:2021:expenditure:approved:00b9963d0e0cc0f4,assigned,01,"","",retained,款,somu,
2021,expenditure,132241:2021:expenditure:approved:00c66da3482cd7cd,assigned,01,"","",retained,款,somu,
2021,expenditure,132241:2021:expenditure:approved:00d252cae593a8cf,assigned,09,09.5,"",retained,項,tama-shakaikyoiku-other,
2021,expenditure,132241:2021:expenditure:approved:00e407347d1fd4f2,assigned,01,"","",retained,款,somu,
2021,expenditure,132241:2021:expenditure:approved:00f7c6e563a43586,assigned,04,04.5,04.5.1,retained,項,tama-doboku-doro,
2021,expenditure,132241:2021:expenditure:approved:0133316e46635c28,assigned,01,01.1,"",retained,款,gikai,
2021,expenditure,132241:2021:expenditure:approved:014eb6be30f2b020,assigned,08,08.2,"",retained,目,tama-shakaikyoiku-toshokan,
2021,expenditure,132241:2021:expenditure:approved:015ae5638b4786b1,assigned,10,"","",retained,款,minsei,
2021,expenditure,132241:2021:expenditure:approved:017ffd12e605ef7a,assigned,06,06.1,"",retained,項,tama-doboku-jutaku,
2021,expenditure,132241:2021:expenditure:approved:01ad2dcbb709c4fd,assigned,03,03.2,"",retained,款,shobo,
2021,expenditure,132241:2021:expenditure:approved:01d2ce1890c002a3,assigned,10,"","",retained,款,minsei,
2021,expenditure,132241:2021:expenditure:approved:022389ff2f5bd129,assigned,06,06.2,"",retained,項,tama-toshikeikaku-other,
2021,expenditure,132241:2021:expenditure:approved:0251140674260a80,assigned,05,05.1,"",retained,項,tama-eisei-seiso,
2021,expenditure,132241:2021:expenditure:approved:02ad7a467200878a,assigned,10,"","",retained,款,minsei,
2021,expenditure,132241:2021:expenditure:approved:02b0b45c7489b89a,assigned,01,"","",retained,款,somu,
2021,expenditure,132241:2021:expenditure:approved:02d52362d555d109,assigned,07,"","",retained,項,tama-eisei-hoken,
2021,expenditure,132241:2021:expenditure:approved:033776ec9533cced,assigned,01,01.1,"",retained,款,gikai,
2021,expenditure,132241:2021:expenditure:approved:038ac0c653a5f19e,assigned,01,01.1,"",retained,款,gikai,
2021,expenditure,132241:2021:expenditure:approved:03a476553432f024,assigned,01,"","",retained,款,somu,
2021,expenditure,132241:2021:expenditure:approved:0409432ca733dc48,assigned,01,"","",retained,款,somu,
2021,expenditure,132241:2021:expenditure:approved:041ff0629d6663f7,assigned,09,09.2,"",retained,項,tama-kyoiku-chuto,
2021,expenditure,132241:2021:expenditure:approved:0445bd6aa08a94f6,assigned,09,09.5,"",retained,項,tama-shakaikyoiku-other,
2021,expenditure,132241:2021:expenditure:approved:04518c513d23e609,assigned,01,"","",retained,款,somu,
2021,expenditure,132241:2021:expenditure:approved:04b407f88e1aaf7d,assigned,07,"","",retained,項,tama-eisei-hoken,
2021,expenditure,132241:2021:expenditure:approved:04c79d9b498aca28,assigned,04,04.5,04.5.1,retained,項,tama-doboku-doro,
2021,expenditure,132241:2021:expenditure:approved:04d3c0d432690045,assigned,04,04.7,"",retained,款,shoko,
2021,expenditure,132241:2021:expenditure:approved:04e13766946347da,assigned,10,"","",retained,款,minsei,
2021,expenditure,132241:2021:expenditure:approved:04f0fd92955c51b2,assigned,01,"","",retained,款,somu,
2021,expenditure,132241:2021:expenditure:approved:059695ba3cbf32f3,assigned,09,09.6,"",retained,目,tama-hokentaiiku-kyushoku,
2021,expenditure,132241:2021:expenditure:approved:05aace0fd006bc4c,assigned,10,"","",retained,款,minsei,
2021,expenditure,132241:2021:expenditure:approved:05eb100aadc554e3,assigned,04,04.5,04.5.1,retained,項,tama-doboku-doro,
2021,expenditure,132241:2021:expenditure:approved:060b5f9dd86f594d,assigned,07,"","",retained,項,tama-eisei-hoken,
2021,expenditure,132241:2021:expenditure:approved:0630e5336913bc56,assigned,10,"","",retained,款,minsei,
2021,expenditure,132241:2021:expenditure:approved:0633e7ebbf62de09,assigned,08,08.1,"",retained,項,tama-hokentaiiku-other,
2021,expenditure,132241:2021:expenditure:approved:065203c0fc8bf425,assigned,01,"","",retained,款,somu,
2021,expenditure,132241:2021:expenditure:approved:0663d70680d5eac6,assigned,04,04.1,04.1.2,retained,款,rodo,
2021,expenditure,132241:2021:expenditure:approved:0696feb33e5420f9,assigned,09,09.6,"",retained,目,tama-hokentaiiku-kyushoku,
2021,expenditure,132241:2021:expenditure:approved:06b014d078dccdd9,assigned,08,08.2,"",retained,目,tama-shakaikyoiku-toshokan,
2021,expenditure,132241:2021:expenditure:approved:06d60ced64e78829,assigned,08,08.2,"",retained,目,tama-shakaikyoiku-toshokan,
2021,expenditure,132241:2021:expenditure:approved:06e1e7792b3a02c1,assigned,10,"","",retained,款,minsei,
2021,expenditure,132241:2021:expenditure:approved:06ea5cd7c766a30d,assigned,09,09.8,"",retained,項,tama-kyoiku-gakko,
2021,expenditure,132241:2021:expenditure:approved:0743083eade978d4,assigned,09,09.5,"",retained,項,tama-shakaikyoiku-other,
2021,expenditure,132241:2021:expenditure:approved:074b87a165e70bc4,assigned,10,"","",retained,款,minsei,
2021,expenditure,132241:2021:expenditure:approved:076602555eda3f2e,assigned,04,04.7,"",retained,款,shoko,
2021,expenditure,132241:2021:expenditure:approved:076aa5ab134d8b84,assigned,08,08.1,"",retained,項,tama-hokentaiiku-other,
2021,expenditure,132241:2021:expenditure:approved:07ab92e34e77daeb,assigned,09,09.5,"",retained,項,tama-shakaikyoiku-other,
2021,expenditure,132241:2021:expenditure:approved:07ba2d02fe5cf2da,assigned,10,"","",retained,款,minsei,
2021,expenditure,132241:2021:expenditure:approved:07bf75c499261c3a,assigned,01,"","",retained,款,somu,
2021,expenditure,132241:2021:expenditure:approved:07c2285f668223ba,assigned,08,08.2,"",retained,目,tama-shakaikyoiku-toshokan,
2021,expenditure,132241:2021:expenditure:approved:07d9d090fa7bff64,assigned,09,09.2,"",retained,項,tama-kyoiku-chuto,
2021,expenditure,132241:2021:expenditure:approved:07dc72b65f65ecce,assigned,10,"","",retained,款,minsei,
2021,expenditure,132241:2021:expenditure:approved:083cf46d2ae016c4,assigned,10,"","",retained,款,minsei,
2021,expenditure,132241:2021:expenditure:approved:089cc8df01714d9b,assigned,09,09.5,"",retained,項,tama-shakaikyoiku-other,
2021,expenditure,132241:2021:expenditure:approved:08de6e778c1c7722,assigned,01,"","",retained,款,somu,
2021,expenditure,132241:2021:expenditure:approved:090de6c0450b8bdd,assigned,07,"","",retained,項,tama-eisei-hoken,
2021,expenditure,132241:2021:expenditure:approved:097d25de8d2a4495,assigned,09,09.5,"",retained,項,tama-shakaikyoiku-other,
2021,expenditure,132241:2021:expenditure:approved:0986bc1a5b3f1927,assigned,06,06.1,"",retained,項,tama-doboku-jutaku,
2021,expenditure,132241:2021:expenditure:approved:098f2a945ad63ee5,assigned,07,"","",retained,項,tama-eisei-hoken,
