fiscal_year,direction,fund_code,fund_label,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,name_source,master_kan_code,master_kan_name,master_kou_code,master_kou_name,master_kind,master_basis
2021,expenditure,"",一般会計,01,議会費,01,議会費,01,議会費,source-csv,1,議会費,1,議会費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2021,expenditure,"",一般会計,02,総務費,01,総務管理費,01,一般管理費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2021,expenditure,"",一般会計,02,総務費,01,総務管理費,02,人事管理費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2021,expenditure,"",一般会計,02,総務費,01,総務管理費,03,文書広報費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2021,expenditure,"",一般会計,02,総務費,01,総務管理費,04,財政管理費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2021,expenditure,"",一般会計,02,総務費,01,総務管理費,05,会計管理費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2021,expenditure,"",一般会計,02,総務費,01,総務管理費,06,財産管理費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2021,expenditure,"",一般会計,02,総務費,01,総務管理費,07,企画費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2021,expenditure,"",一般会計,02,総務費,01,総務管理費,08,財政調整基金費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2021,expenditure,"",一般会計,02,総務費,01,総務管理費,09,青少年対策費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2021,expenditure,"",一般会計,02,総務費,01,総務管理費,10,交通安全対策費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2021,expenditure,"",一般会計,02,総務費,01,総務管理費,11,複合文化施設費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2021,expenditure,"",一般会計,02,総務費,01,総務管理費,12,文化推進費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2021,expenditure,"",一般会計,02,総務費,01,総務管理費,13,地域振興費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2021,expenditure,"",一般会計,02,総務費,01,総務管理費,15,出張所費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
