priority,rule_id,applies_to,match_fund,match_kan,match_kou,match_kan_code,match_moku,moku_mode,match_setsu,status,cofog_code,consolidation,decided_at_level,counterpart_fund,basis
7,debt-principal,,,公債費,,,元金,eq,,out-of-scope,,retained,目,,市債の元金償還。金融負債の返済であり、COFOG の対象である経費・非金融資産への純投資のいずれでもない
8,debt-interest,,,公債費,,,利子,eq,,assigned,01.7,retained,目,,市債利子。COFOG 01.7 公債取引にあたる
9,fund-accumulation,,,,,,,eq,積立金,out-of-scope,,retained,節,,基金への積立。金融資産の取得であり COFOG の集計対象ではない
11,contingency,,,予備費,,,,eq,,unclassifiable,,retained,款,,予備費。COFOG の対象だが、執行されるまで機能が決まらないため割り当ての根拠が無い
28,gikai,,,議会費,,,,eq,,assigned,01.1,retained,款,,議会。COFOG 01.1 立法機関・行政機関
29,somu,,,総務費,,,,eq,,assigned,01,retained,款,,総務・徴税・戸籍・選挙・統計・監査。COFOG 01 一般公共サービス
30,minsei,,,民生費,,,,eq,,assigned,10,retained,款,,社会福祉・児童福祉・生活保護。COFOG 10 社会保護
31,rodo,,,労働費,,,,eq,,assigned,04.1.2,retained,款,,労働諸費。COFOG 04.1.2 一般労働業務
32,norin,,,農林費,,,,eq,,assigned,04.2,retained,款,,農業。COFOG 04.2 農林水産業
33,shoko,,,商工費,,,,eq,,assigned,04.7,retained,款,,商工業。COFOG 04.7 その他の産業
34,shobo,,,消防費,,,,eq,,assigned,03.2,retained,款,,消防。COFOG 03.2 消防サービス
73,tama-eisei-hoken,132241,一般会計,,保健衛生費,,,eq,,assigned,07,retained,項,,多摩市 款4 項1 保健衛生費。COFOG 07 保健
74,tama-eisei-seiso,132241,一般会計,,清掃費,,,eq,,assigned,05.1,retained,項,,多摩市 款4 項2 清掃費。COFOG 05.1 廃棄物管理
75,tama-doboku-kanri,132241,一般会計,,土木管理費,,,eq,,assigned,04.5,retained,項,,多摩市 款8 項1 土木管理費。COFOG 04.5 運輸
76,tama-doboku-doro,132241,一般会計,,道路橋りょう費,,,eq,,assigned,04.5.1,retained,項,,多摩市 款8 項2 道路橋りょう費。COFOG 04.5.1 道路交通
77,tama-doboku-jutaku,132241,一般会計,,住宅費,,,eq,,assigned,06.1,retained,項,,多摩市 款8 項5 住宅費。COFOG 06.1 住宅開発
78,tama-toshikeikaku-kouen,132241,一般会計,,都市計画費,,公園費|緑化推進対策費,eq,,assigned,08.1,retained,目,,多摩市 款8 項4 のうち公園・緑化。COFOG 08.1 レクリエーション及びスポーツのサービス。三鷹市の緑化公園費と同じ扱い
79,tama-toshikeikaku-other,132241,一般会計,,都市計画費,,,eq,,assigned,06.2,retained,項,,多摩市 款8 項4 都市計画費のうち目で決まらないもの（都市計画総務費）。COFOG 06.2 地域開発
80,tama-shakaikyoiku-toshokan,132241,一般会計,,社会教育費,,図書館費,eq,,assigned,08.2,retained,目,,多摩市 款10 項5 のうち図書館。COFOG 08.2 文化サービスが図書館を明示的に含むため教育費の下にあっても 08 に置く（三鷹市・狛江市の図書館費と同じ扱い）
