priority,rule_id,applies_to,match_fund,match_kan,match_kou,match_kan_code,match_moku,moku_mode,match_setsu,status,cofog_code,consolidation,decided_at_level,counterpart_fund,basis
2,transfer-kokuho,132047,,,,,国民健康保険事業特別会計繰出金,contains,繰出金,assigned,07,eliminated,目,国民健康保険事業特別会計,同一主体内の会計間繰出。連結時は消去する。分類は受け皿である国民健康保険事業特別会計の機能に対応し、医療給付を担うため 07 保健
3,transfer-kaigo-service,132047,,,,,介護サービス事業特別会計繰出金,contains,繰出金,assigned,10,eliminated,目,介護サービス事業特別会計,同一主体内の会計間繰出。連結時は消去する。分類は受け皿である介護サービス事業特別会計の機能に対応し、介護サービスの提供であり 10 社会保護
4,transfer-kaigo-hoken,132047,,,,,介護保険事業特別会計繰出金,contains,繰出金,assigned,10,eliminated,目,介護保険事業特別会計,同一主体内の会計間繰出。連結時は消去する。分類は受け皿である介護保険事業特別会計の機能に対応し、長期介護の社会保険であり 10 社会保護
5,transfer-kouki,132047,,,,,後期高齢者医療特別会計繰出金,contains,繰出金,assigned,07,eliminated,目,後期高齢者医療特別会計,同一主体内の会計間繰出。連結時は消去する。分類は受け皿である後期高齢者医療特別会計の機能に対応し、医療給付を担うため 07 保健
6,transfer-to-general,132047,,,,,一般会計繰出金,contains,繰出金,out-of-scope,,eliminated,目,一般会計,特別会計から一般会計への精算返還。同一主体内の移転として消去する。COFOG の対象である経費・非金融資産への純投資のいずれでもないため分類の対象外
7,debt-principal,,,公債費,,,元金,eq,,out-of-scope,,retained,目,,市債の元金償還。金融負債の返済であり、COFOG の対象である経費・非金融資産への純投資のいずれでもない
8,debt-interest,,,公債費,,,利子,eq,,assigned,01.7,retained,目,,市債利子。COFOG 01.7 公債取引にあたる
9,fund-accumulation,,,,,,,eq,積立金,out-of-scope,,retained,節,,基金への積立。金融資産の取得であり COFOG の集計対象ではない
10,refund,132047,,,償還金及び還付加算金,,,eq,,out-of-scope,,retained,項,,過誤納金の還付。歳入の戻しであり経費ではない
11,contingency,,,予備費,,,,eq,,unclassifiable,,retained,款,,予備費。COFOG の対象だが、執行されるまで機能が決まらないため割り当ての根拠が無い
12,toshikeikaku-somu,132047,,,都市計画費,,都市計画総務費|再開発事業費,eq,,assigned,06.2,retained,目,,都市計画・市街地再開発。COFOG 06.2 地域開発
13,toshikeikaku-gairo,132047,,,都市計画費,,街路事業費,eq,,assigned,04.5.1,retained,目,,都市計画道路の整備。COFOG 04.5.1 道路交通
14,toshikeikaku-kouen,132047,,,都市計画費,,緑化公園費,eq,,assigned,08.1,retained,目,,公園・緑化。COFOG 08.1 レクリエーション及びスポーツのサービス
