fiscal_year,direction,fund_code,fund_label,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,name_source,master_kan_code,master_kan_name,master_kou_code,master_kou_name,master_kind,master_basis
2024,expenditure,01,一般会計,01,議会費,01,議会費,01,議会費,source-csv,1,議会費,1,議会費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2024,expenditure,01,一般会計,02,総務費,01,総務管理費,01,一般管理費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2024,expenditure,01,一般会計,02,総務費,01,総務管理費,02,広報広聴費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2024,expenditure,01,一般会計,02,総務費,01,総務管理費,03,企画費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2024,expenditure,01,一般会計,02,総務費,01,総務管理費,04,三鷹中央防災公園・元気創造プラザ費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2024,expenditure,01,一般会計,02,総務費,01,総務管理費,05,情報推進費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2024,expenditure,01,一般会計,02,総務費,01,総務管理費,06,財産管理費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2024,expenditure,01,一般会計,02,総務費,01,総務管理費,07,市民センター管理費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2024,expenditure,01,一般会計,02,総務費,01,総務管理費,08,住居表示費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2024,expenditure,01,一般会計,02,総務費,01,総務管理費,09,市政窓口費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2024,expenditure,01,一般会計,02,総務費,01,総務管理費,10,コミュニティ育成費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2024,expenditure,01,一般会計,02,総務費,01,総務管理費,11,市民協働センター費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2024,expenditure,01,一般会計,02,総務費,01,総務管理費,12,文化費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2024,expenditure,01,一般会計,02,総務費,01,総務管理費,13,安全安心推進費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2024,expenditure,01,一般会計,02,総務費,01,総務管理費,14,財政調整基金費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2024,expenditure,01,一般会計,02,総務費,01,総務管理費,15,まちづくり施設整備基金費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2024,expenditure,01,一般会計,02,総務費,01,総務管理費,16,平和基金費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2024,expenditure,01,一般会計,02,総務費,01,総務管理費,17,庁舎等建設基金費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2024,expenditure,01,一般会計,02,総務費,01,総務管理費,18,諸費,source-csv,2,総務費,1,総務管理費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2024,expenditure,01,一般会計,02,総務費,02,徴税費,01,税務総務費,source-csv,2,総務費,2,徴税費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
